model,problem,cost,time,solution
cut_crossfill-non_uniform,ft06,82,2.117821455001831,"[19, 35, 32, 1, 2, 43]"
cut_crossfill-non_uniform,ft06,85,2.0712761878967285,"[18, 38, 35, 0, 1, 46]"
cut_crossfill-non_uniform,ft06,82,1.7134745121002195,"[12, 25, 26, 47, 48, 3]"
cut_crossfill-non_uniform,ft06,80,2.1668615341186523,"[3, 22, 21, 42, 6, 50]"
cut_crossfill-non_uniform,ft06,82,2.033747911453247,"[20, 35, 32, 2, 3, 43]"
cut_crossfill-non_uniform,ft06,78,2.1388378143310547,"[4, 20, 20, 41, 7, 48]"
cut_crossfill-non_uniform,ft06,82,1.764517068862915,"[12, 25, 26, 47, 48, 3]"
cut_crossfill-non_uniform,ft06,79,1.766017198562622,"[9, 22, 23, 44, 45, 0]"
cut_crossfill-non_uniform,ft06,80,1.8751115798950195,"[6, 23, 24, 45, 46, 7]"
cut_crossfill-non_uniform,ft06,81,2.000219345092773,"[20, 33, 32, 1, 56, 10]"
cut_crossfill-non_uniform,ft06,85,2.136836290359497,"[2, 37, 38, 12, 60, 21]"
cut_crossfill-non_uniform,ft06,86,1.960185050964356,"[3, 38, 39, 13, 61, 22]"
cut_crossfill-non_uniform,ft06,74,2.025740385055542,"[0, 17, 18, 39, 40, 1]"
cut_crossfill-non_uniform,ft06,74,1.85059142112732,"[0, 16, 16, 37, 3, 44]"
cut_crossfill-non_uniform,ft06,79,1.9216501712799072,"[9, 22, 23, 44, 45, 0]"
cut_crossfill-non_uniform,ft06,79,1.8235676288604736,"[9, 22, 23, 44, 45, 0]"
cut_crossfill-non_uniform,ft06,81,1.9076390266418457,"[1, 24, 25, 46, 47, 2]"
cut_crossfill-non_uniform,ft06,80,1.7470014095306396,"[0, 23, 24, 45, 46, 1]"
cut_crossfill-non_uniform,ft06,76,1.90113377571106,"[2, 19, 20, 41, 42, 3]"
average-uniform,ft06,80,1.0649161338806152,"[54, 12, 14, 35, 0, 44]"
average-uniform,ft06,80,1.1049473285675049,"[54, 12, 14, 35, 0, 43]"
average-uniform,ft06,80,1.130974054336548,"[54, 12, 14, 35, 0, 44]"
average-uniform,ft06,76,1.335646152496338,"[2, 18, 17, 38, 5, 46]"
average-uniform,ft06,74,1.1489887237548828,"[0, 16, 17, 38, 3, 44]"
average-uniform,ft06,80,1.1424808502197266,"[54, 12, 14, 35, 0, 43]"
average-uniform,ft06,78,1.0854337215423584,"[4, 20, 19, 40, 7, 48]"
average-uniform,ft06,80,1.0273830890655518,"[54, 12, 14, 35, 0, 43]"
average-uniform,ft06,80,1.0288844108581543,"[54, 12, 14, 35, 0, 43]"
average-uniform,ft06,80,1.0223798751831057,"[54, 12, 14, 35, 0, 44]"
average-uniform,ft06,80,1.036388874053955,"[54, 12, 14, 35, 0, 44]"
average-uniform,ft06,80,1.0268824100494385,"[54, 12, 14, 35, 0, 43]"
average-uniform,ft06,80,0.9523191452026368,"[54, 12, 14, 35, 0, 44]"
average-uniform,ft06,80,1.1354737281799316,"[54, 12, 14, 35, 0, 44]"
average-uniform,ft06,80,1.334148645401001,"[54, 12, 13, 34, 0, 43]"
average-uniform,ft06,79,1.0824296474456787,"[4, 21, 20, 41, 7, 49]"
average-uniform,ft06,80,0.9688329696655272,"[54, 12, 14, 35, 0, 43]"
average-uniform,ft06,80,1.158994197845459,"[54, 12, 14, 35, 0, 43]"
average-uniform,ft06,76,1.5383236408233645,"[3, 18, 18, 39, 6, 46]"
average-uniform,ft06,80,1.035389423370361,"[54, 12, 13, 34, 0, 43]"
average-uniform,ft06,84,1.393697738647461,"[14, 27, 28, 49, 50, 5]"
average-uniform,ft06,80,1.0589101314544678,"[54, 12, 13, 34, 0, 43]"
average-uniform,ft06,74,1.093437433242798,"[0, 16, 16, 37, 3, 44]"
average-uniform,ft06,80,1.3361506462097168,"[54, 12, 14, 35, 0, 43]"
average-uniform,ft06,80,0.91528582572937,"[54, 12, 14, 35, 0, 43]"
average-uniform,ft06,78,1.4537501335144043,"[3, 20, 21, 42, 6, 48]"
average-uniform,ft06,80,1.2660868167877195,"[54, 12, 14, 35, 0, 44]"
average-uniform,ft06,80,1.055408000946045,"[54, 12, 14, 35, 0, 44]"
average-uniform,ft06,74,1.3566644191741943,"[0, 16, 17, 38, 3, 44]"
average-uniform,ft06,80,1.030388355255127,"[54, 12, 13, 34, 0, 43]"
PSO,ft06,73,5.435670137405396,[ 0 15 16 37  3 43]
PSO,ft06,73,5.56828498840332,[ 0 15 15 36  3 43]
PSO,ft06,73,5.557775974273682,[ 0 15 15 36  3 43]
PSO,ft06,73,5.62433385848999,[ 0 15 15 36  3 43]
PSO,ft06,73,5.379124641418457,[ 0 15 15 36  3 43]
PSO,ft06,73,8.07644009590149,[ 0 15 16 37  3 43]
PSO,ft06,73,5.53625750541687,[ 0 15 15 36  3 43]
PSO,ft06,73,5.851028919219971,[ 0 15 15 36  3 43]
PSO,ft06,73,5.507728338241577,[ 0 15 16 37  3 43]
PSO,ft06,73,5.821503162384033,[ 0 15 16 37  3 43]
PSO,ft06,73,5.463696479797363,[ 0 15 16 37  3 43]
PSO,ft06,73,5.57328987121582,[ 0 15 15 36  3 43]
PSO,ft06,73,5.839019060134888,[ 0 15 16 37  3 43]
PSO,ft06,73,5.637844800949097,[ 0 15 16 37  3 43]
PSO,ft06,81,6.668216466903687,[50  0  1 22 23 51]
PSO,ft06,80,9.114333629608154,[18 33 30  0  1 41]
PSO,ft06,73,5.553272008895874,[ 0 15 15 36  3 43]
PSO,ft06,73,5.457189559936523,[ 0 15 16 37  3 43]
PSO,ft06,74,6.315425872802734,[ 0 16 15 36  3 44]
PSO,ft06,73,5.412652492523193,[ 0 15 16 37  3 43]
PSO,ft06,73,5.64785099029541,[ 0 15 16 37  3 43]
PSO,ft06,73,6.019672393798828,[ 0 15 15 36  3 43]
PSO,ft06,73,5.404643058776856,[ 0 15 16 37  3 43]
PSO,ft06,73,5.520245552062988,[ 0 15 16 37  3 43]
PSO,ft06,73,5.578793287277222,[ 0 15 15 36  3 43]
PSO,ft06,80,6.735289812088013,[54 12 13 34  0 43]
PSO,ft06,80,6.916442632675171,[54 12 13 34  0 43]
PSO,ft06,73,7.30327558517456,[ 0 15 15 36  3 43]
